#Fields:time cs-method cs-uri-stem cs-username c-ip sc-status sc-bytes cs-bytes time-taken
02:31:04 POST /LuciaWSPR/aWSPrcRpt.aspx Otr9767 4.32.23.111 200 741 50000 29999
02:31:04 GET /LuciaWS/awsdua.aspx 0642 2.2.2.2 401 100000 702 20000
02:31:04 POST /LuciaWsPr/awsprcrpt.aspx otr5xxx 190.64.90.10 200 1093 0 109
02:31:05 POST /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 401 1621 1007 0
02:31:04 GET /LuciaWSPR/mal.aspx Otr9767 4.32.23.111 404 741 50000 29999
02:31:04 POST /LuciaWS/noexite45.aspx 0642 2.2.2.2 401 100000 702 20000
02:31:04 POST /LuciaWsPr/awsprcrp12t.aspx otr5xxx 190.64.90.10 200 1093 0 109
02:31:05 POST /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 200 990000 20888 599
02:31:04 POST /LuciaWSPR/aWSPrcRpt.aspx Otr9767 4.32.23.111 200 741 50000 29999
07:31:04 GET /LuciaWS/awsdua.aspx 0642 2.2.2.2 401 100000 702 20000
07:31:05 GET /LuciaWsPr/awsprcrpt.aspx otr5xxx 190.64.90.10 200 1093 0 109
07:31:06 GET /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 401 1621 1007 0
07:31:07 GET /LuciaWSPR/mal.aspx Otr9767 4.32.23.111 404 741 50000 29999
07:31:08 GET /LuciaWS/noexite45.aspx 0642 2.2.2.2 401 100000 702 20000
07:31:09 GET /LuciaWsPr/awsprcrp12t.aspx otr5xxx 190.64.90.10 200 1093 0 109
07:31:10 GET /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 200 990000 20888 599
07:31:11 POST /LuciaWS/noexite45.aspx 0642 2.2.2.2 401 100000 702 343
07:31:12 POST /LuciaWsPr/awsprcrp12t.aspx otr5xxx 190.64.90.10 200 1093 0 22
07:31:13 POST /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 200 990000 20888 
07:31:14 POST /LuciaWSPR/aWSPrcRpt.aspx Otr9767 4.32.23.111 200 741 50000 343
13:31:04 GET /LuciaWS/awsdua.aspx 0642 2.2.2.2 401 100000 702 20000
13:31:05 GET /LuciaWsPr/awsprcrpt.aspx otr5xxx 190.64.90.10 200 1093 0 109
13:31:06 GET /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 401 1621 1007 0
13:31:07 GET /LuciaWSPR/mal.aspx Otr9767 4.32.23.111 404 741 50000 29999
13:31:08 GET /LuciaWS/noexite45.aspx 0642 2.2.2.2 401 100000 702 20000
13:31:09 GET /LuciaWsPr/awsprcrp12t.aspx otr5xxx 190.64.90.10 200 1093 0 109
13:31:10 GET /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 200 990000 20888 599
13:31:11 POST /LuciaWS/noexite45.aspx 0642 2.2.2.2 401 100000 702 434
13:31:12 POST /LuciaWsPr/awsprcrp12t.aspx otr5xxx 190.64.90.10 200 1093 0 535
13:31:13 POST /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 200 990000 20888 433434
13:31:14 POST /LuciaWSPR/aWSPrcRpt.aspx Otr9767 4.32.23.111 200 741 50000 12213
19:00:02 GET /LuciaWS/awsdua.aspx 0642 2.2.2.2 401 100000 702 20000
19:00:03 GET /LuciaWsPr/awsprcrpt.aspx otr5xxx 190.64.90.10 200 1093 0 109
19:00:04 GET /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 401 1621 1007 0
19:00:05 GET /LuciaWSPR/mal.aspx Otr9767 4.32.23.111 404 741 50000 29999
19:00:06 GET /LuciaWS/noexite45.aspx 0642 2.2.2.2 401 100000 702 20000
19:00:07 GET /LuciaWsPr/awsprcrp12t.aspx otr5xxx 190.64.90.10 200 1093 0 109
19:00:08 GET /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 200 990000 20888 599
19:00:09 POST /LuciaWS/noexite45.aspx 0642 2.2.2.2 401 100000 702 22
19:00:10 POST /LuciaWsPr/awsprcrp12t.aspx otr5xxx 190.64.90.10 200 1093 0 321223
19:00:11 POST /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 200 990000 20888 
19:00:12 POST /LuciaWSPR/aWSPrcRpt.aspx Otr9767 4.32.23.111 200 741 50000 
22:00:02 GET /LuciaWS/awsdua.aspx 0642 2.2.2.2 401 100000 702 20000
22:00:03 GET /LuciaWsPr/awsprcrpt.aspx otr5xxx 190.64.90.10 200 1093 0 109
22:00:04 GET /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 401 1621 1007 0
22:00:05 GET /LuciaWSPR/mal.aspx Otr9767 4.32.23.111 404 741 50000 29999
22:00:06 GET /LuciaWS/noexite45.aspx 0642 2.2.2.2 401 100000 702 20000
22:00:07 GET /LuciaWsPr/awsprcrp12t.aspx otr5xxx 190.64.90.10 200 1093 0 109
22:00:08 GET /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 200 990000 20888 599
22:00:09 POST /LuciaWS/noexite45.aspx 0642 2.2.2.2 401 100000 702 213
22:00:10 POST /LuciaWsPr/awsprcrp12t.aspx otr5xxx 190.64.90.10 200 1093 0 12345
22:00:11 POST /LuciaWSPR/aWSPrcRptV2.aspx - 199.0.0.1 200 990000 20888 2321
22:00:12 POST /LuciaWSPR/aWSPrcRpt.aspx Otr9767 4.32.23.111 200 741 50000 2
